id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,4.06863E+15,217,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,2,4.17782E+15,813,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
3,3,4.27181E+15,1220,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
4,4,4.04803E+15,313,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
5,5,4.29722E+15,1215,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
6,6,4.55837E+15,417,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
7,7,4.61325E+15,314,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
8,8,4.83951E+15,213,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
9,9,4.46353E+15,618,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
10,10,4.14965E+15,420,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
