id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
90,1896,4050265592090299,0114,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
91,3222,4687976720745264,0918,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
92,2300,4005021410252154,0316,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
93,4764,4391575588388370,1218,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
94,1946,4026994530272058,0314,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
95,1858,4082965194718176,0912,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
96,3028,4881883704910845,1013,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
97,31,4908887059302038,0920,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
98,1022,4705742874343843,0719,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
99,511,4761000889527863,1119,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
100,4239,4686791215944410,0520,failed,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
101,1189,4684161548480817,1219,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
102,1416,4339160083065030,0315,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
103,1366,4917644581850456,0913,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
104,554,4113758460176252,0820,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
105,87,4632623972329434,0417,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
106,1544,4750823658695563,1212,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
107,2528,4064249823238604,0618,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
108,1031,4557283525052057,0412,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
109,960,4340259553161572,0712,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
110,58,4130562614443436,0120,failed,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
111,776,4002810912900173,0715,failed,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
112,2699,4672999215355858,0716,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
113,4362,4510136688023558,0417,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
114,2319,4080247238605633,0618,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
115,4442,4191976989764980,1013,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
116,26,4055564081112246,1012,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
117,4345,4063134034461571,0615,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
118,2998,4933193674694615,0320,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
119,2124,4840021010919095,1219,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
120,2610,4782653629218871,0712,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
121,4499,4446599369437324,0513,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
122,3508,4134152532510685,0715,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
123,789,4602945298560162,0315,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
124,1581,4973307042643604,0815,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
125,2247,4238941295416431,1015,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
126,3619,4671991827865010,0513,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
127,4071,4611840591827410,0916,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
128,3527,4217492064576708,1020,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
129,110,4021286473734137,0520,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
130,3919,4645511183128466,0215,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
131,360,4667398730802653,1017,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
132,4194,4203556669555701,0712,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
133,3801,4010680668779805,0320,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
134,831,4519671625164874,0920,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
135,4185,4669193713313039,1012,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
136,3441,4131693590636884,0119,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
137,2279,4716923041959322,1014,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
138,332,4874061134432318,0913,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
139,4313,4794711779062645,1120,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
140,1453,4821112763390770,0416,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
141,859,4447392034703789,1113,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
142,4724,4312226706997582,0616,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
143,2325,4321677637250604,0917,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
144,2934,4774584008084589,0116,failed,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
145,3932,4997554022666376,0213,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
146,121,4143500574692262,1212,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
147,4213,4769359146551903,0712,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
148,2717,4548288329975019,1212,failed,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
149,2977,4737910295777584,0513,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
150,633,4920467052234389,0415,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
151,4467,4268126867206130,1215,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
152,4799,4058507252510044,1115,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
153,430,4804798898226122,0512,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
154,4907,4941895198399826,0518,failed,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
155,2368,4365474018003338,1217,success,2012-02-26 20:57:01 UTC,2012-02-26 20:57:01 UTC
156,2900,4362802023407977,0112,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
157,1846,4709998508762802,0317,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
158,1967,4191222188022584,1118,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
159,585,4953242338787692,0917,failed,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
160,3483,4771477015170989,0217,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
161,156,4413055831972782,0420,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
162,1258,4799813800589546,1019,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
163,4955,4289367481522285,1216,failed,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
164,3244,4323384378936147,1115,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
165,344,4050963362033166,0218,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
166,723,4778785336727351,0419,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
167,4740,4809407407194583,0513,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
168,4795,4831725687004391,0715,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
169,3651,4880873842873352,0413,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
170,3327,4667411515757439,0113,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
171,2672,4506960691682777,1218,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
172,2140,4966312331026942,0517,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
173,2886,4652739371358833,0614,failed,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
174,2630,4307650137025179,1214,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
175,1717,4519790645916395,1116,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
176,716,4502321874935758,0314,failed,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
177,1810,4754870782844906,0218,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
178,1204,4738993058427755,1018,failed,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
179,3502,4460682233302584,0613,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
180,1603,4382984642318784,0512,failed,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
