id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,2179,4068631943231473,217,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,46,4177816490204479,813,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
3,750,4271805778010747,1220,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
4,4126,4.04803E+15,313,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
5,3715,4297222478855497,1215,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
6,4966,4558368405929183,417,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
7,1298,4613250127567219,314,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
8,4898,4839506591130477,213,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
9,1752,4463525332822998,618,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
10,290,4149654190362629,420,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
