id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
6,4966,4558368405929183,0417,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
14,3560,4035885351912165,1020,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
65,395,4890058737935589,0112,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
101,1189,4684161548480817,1219,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
104,554,4113758460176252,0820,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
157,1846,4709998508762802,0317,success,2012-02-26 20:57:02 UTC,2012-02-26 20:57:02 UTC
199,3445,4689742329469019,0313,success,2012-02-26 20:57:03 UTC,2012-02-26 20:57:03 UTC
242,4351,4782131213149910,0213,failed,2012-02-26 20:57:05 UTC,2012-02-26 20:57:05 UTC
297,2070,4740260311617576,0713,success,2012-02-26 20:57:06 UTC,2012-02-26 20:57:06 UTC
380,55,4078442287470395,0613,success,2012-02-26 20:57:09 UTC,2012-02-26 20:57:09 UTC
381,1195,4793562617598061,0220,success,2012-02-26 20:57:09 UTC,2012-02-26 20:57:09 UTC
432,2204,4870768067898394,0920,failed,2012-02-26 20:57:10 UTC,2012-02-26 20:57:10 UTC
439,3115,4005101833839880,0619,success,2012-02-26 20:57:10 UTC,2012-02-26 20:57:10 UTC
440,338,4385721096785321,0219,success,2012-02-26 20:57:10 UTC,2012-02-26 20:57:10 UTC
456,4860,4874286583570424,0313,success,2012-02-26 20:57:11 UTC,2012-02-26 20:57:11 UTC
477,868,4379179381039936,0113,success,2012-02-26 20:57:12 UTC,2012-02-26 20:57:12 UTC
531,1495,4134214819227763,1012,success,2012-02-26 20:57:13 UTC,2012-02-26 20:57:13 UTC
629,3556,4367972186987713,0616,success,2012-02-26 20:57:17 UTC,2012-02-26 20:57:17 UTC
662,3784,4495723735264942,0920,success,2012-02-26 20:57:18 UTC,2012-02-26 20:57:18 UTC
816,4459,4287154442747353,0920,success,2012-02-26 20:57:23 UTC,2012-02-26 20:57:23 UTC
823,1163,4391284199220788,1012,success,2012-02-26 20:57:23 UTC,2012-02-26 20:57:23 UTC
834,3656,4121279665220314,0113,success,2012-02-26 20:57:23 UTC,2012-02-26 20:57:23 UTC
911,1614,4575670179816588,0818,success,2012-02-26 20:57:26 UTC,2012-02-26 20:57:26 UTC
932,1208,4627737460388450,0918,success,2012-02-26 20:57:27 UTC,2012-02-26 20:57:27 UTC
941,74,4988736743808526,0820,success,2012-02-26 20:57:27 UTC,2012-02-26 20:57:27 UTC
951,1216,4093625209074963,0712,success,2012-02-26 20:57:27 UTC,2012-02-26 20:57:27 UTC
1032,2722,4146094825322844,1012,success,2012-02-26 20:57:30 UTC,2012-02-26 20:57:30 UTC
1057,1614,4368584374108260,0714,success,2012-02-26 20:57:31 UTC,2012-02-26 20:57:31 UTC
1070,4966,4684748673515832,0420,success,2012-02-26 20:57:31 UTC,2012-02-26 20:57:31 UTC
1081,4235,4972174490793595,0112,success,2012-02-26 20:57:32 UTC,2012-02-26 20:57:32 UTC
1128,554,4056829260701222,1120,failed,2012-02-26 20:57:33 UTC,2012-02-26 20:57:33 UTC
1137,4320,4769573306089782,1115,success,2012-02-26 20:57:34 UTC,2012-02-26 20:57:34 UTC
1149,2204,4061872761911998,0220,failed,2012-02-26 20:57:34 UTC,2012-02-26 20:57:34 UTC
1175,3983,4572043176210523,0619,failed,2012-02-26 20:57:35 UTC,2012-02-26 20:57:35 UTC
1223,4459,4865210170714924,0420,success,2012-02-26 20:57:37 UTC,2012-02-26 20:57:37 UTC
1234,1208,4796092707302874,0117,success,2012-02-26 20:57:37 UTC,2012-02-26 20:57:37 UTC
1291,1189,4544971343781354,0313,success,2012-02-26 20:57:39 UTC,2012-02-26 20:57:39 UTC
1331,1817,4179496702650781,0514,success,2012-02-26 20:57:40 UTC,2012-02-26 20:57:40 UTC
1434,4320,4837367286597037,0912,success,2012-02-26 20:57:43 UTC,2012-02-26 20:57:43 UTC
1451,4320,4526901842998219,1014,success,2012-02-26 20:57:44 UTC,2012-02-26 20:57:44 UTC
1452,4746,4086410678490771,1120,success,2012-02-26 20:57:44 UTC,2012-02-26 20:57:44 UTC
1534,4235,4554777020542735,0315,success,2012-02-26 20:57:47 UTC,2012-02-26 20:57:47 UTC
1555,884,4291958480232169,0919,success,2012-02-26 20:57:48 UTC,2012-02-26 20:57:48 UTC
1700,3008,4421830677304682,0213,success,2012-02-26 20:57:52 UTC,2012-02-26 20:57:52 UTC
1711,4351,4413946018844687,1018,success,2012-02-26 20:57:53 UTC,2012-02-26 20:57:53 UTC
1735,298,4906733310775440,0713,success,2012-02-26 20:57:54 UTC,2012-02-26 20:57:54 UTC
1748,2821,4649744556743324,1212,success,2012-02-26 20:57:54 UTC,2012-02-26 20:57:54 UTC
1756,4966,4618376415482255,0419,success,2012-02-26 20:57:54 UTC,2012-02-26 20:57:54 UTC
1817,268,4467539181336525,0718,success,2012-02-26 20:57:56 UTC,2012-02-26 20:57:56 UTC
1841,3697,4743448065629888,0114,success,2012-02-26 20:57:57 UTC,2012-02-26 20:57:57 UTC
1887,55,4279247331004112,1016,failed,2012-02-26 20:57:58 UTC,2012-02-26 20:57:58 UTC
1917,1208,4290791477021179,1116,success,2012-02-26 20:57:59 UTC,2012-02-26 20:57:59 UTC
1964,465,4120311302022217,0612,failed,2012-02-26 20:58:01 UTC,2012-02-26 20:58:01 UTC
1987,3556,4057072134511709,0516,success,2012-02-26 20:58:02 UTC,2012-02-26 20:58:02 UTC
1997,4354,4456243461136883,1012,success,2012-02-26 20:58:02 UTC,2012-02-26 20:58:02 UTC
2023,477,4319456820572204,0614,failed,2012-02-26 20:58:03 UTC,2012-02-26 20:58:03 UTC
2118,3182,4843793974103648,1217,success,2012-02-26 20:58:06 UTC,2012-02-26 20:58:06 UTC
2135,3442,4687589741008796,1012,failed,2012-02-26 20:58:06 UTC,2012-02-26 20:58:06 UTC
2147,2359,4054401708894316,0619,success,2012-02-26 20:58:07 UTC,2012-02-26 20:58:07 UTC
