id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
941,74,4988736743808520,820,success,2012-02-26 20:57:27 UTC,2012-02-26 20:57:27 UTC
3285,74,4179473623203520,912,success,2012-02-26 20:58:44 UTC,2012-02-26 20:58:44 UTC
3287,74,4235554788217950,412,success,2012-02-26 20:58:44 UTC,2012-02-26 20:58:44 UTC
4944,74,4825072724408230,317,success,2012-02-26 20:59:38 UTC,2012-02-26 20:59:38 UTC
2479,139,4198533248739190,413,success,2012-02-26 20:58:17 UTC,2012-02-26 20:58:17 UTC
381,1195,4793562617598060,220,success,2012-02-26 20:57:09 UTC,2012-02-26 20:57:09 UTC
2961,1372,4947478679955320,618,failed,2012-02-26 20:58:33 UTC,2012-02-26 20:58:33 UTC
3286,3248,4014833475178440,819,success,2012-02-26 20:58:44 UTC,2012-02-26 20:58:44 UTC
3883,3485,4570337229085040,219,success,2012-02-26 20:59:02 UTC,2012-02-26 20:59:02 UTC
3999,3485,4345940505415100,419,success,2012-02-26 20:59:06 UTC,2012-02-26 20:59:06 UTC
2176,269,4502607272938340,417,success,2012-02-26 20:58:08 UTC,2012-02-26 20:58:08 UTC
4317,269,4114467809032810,917,failed,2012-02-26 20:59:17 UTC,2012-02-26 20:59:17 UTC
1709,1695,4910280362684960,715,failed,2012-02-26 20:57:53 UTC,2012-02-26 20:57:53 UTC
3649,1695,4470957541856670,512,success,2012-02-26 20:58:55 UTC,2012-02-26 20:58:55 UTC
2437,4098,4450367285897740,1016,success,2012-02-26 20:58:16 UTC,2012-02-26 20:58:16 UTC
4376,4098,4613143674382550,317,success,2012-02-26 20:59:18 UTC,2012-02-26 20:59:18 UTC
4794,4098,4660336970921050,216,success,2012-02-26 20:59:33 UTC,2012-02-26 20:59:33 UTC
1771,4653,4534332575044150,220,success,2012-02-26 20:57:55 UTC,2012-02-26 20:57:55 UTC
2678,548,4110195563560040,1215,failed,2012-02-26 20:58:24 UTC,2012-02-26 20:58:24 UTC
3959,548,4801124416033770,1119,success,2012-02-26 20:59:05 UTC,2012-02-26 20:59:05 UTC
3794,660,4848514870458510,517,success,2012-02-26 20:59:00 UTC,2012-02-26 20:59:00 UTC
4591,1601,4618891790386530,817,success,2012-02-26 20:59:26 UTC,2012-02-26 20:59:26 UTC
345,1963,4073836543593050,1014,success,2012-02-26 20:57:07 UTC,2012-02-26 20:57:07 UTC
2476,1963,4462223626461650,1120,failed,2012-02-26 20:58:17 UTC,2012-02-26 20:58:17 UTC
4391,1963,4724043459983600,615,success,2012-02-26 20:59:19 UTC,2012-02-26 20:59:19 UTC
3203,2254,4237641230185040,516,failed,2012-02-26 20:58:41 UTC,2012-02-26 20:58:41 UTC
608,2969,4296626814810250,413,failed,2012-02-26 20:57:16 UTC,2012-02-26 20:57:16 UTC
2719,2969,4457330634762590,115,success,2012-02-26 20:58:25 UTC,2012-02-26 20:58:25 UTC
2947,2969,4116336189441720,1016,success,2012-02-26 20:58:33 UTC,2012-02-26 20:58:33 UTC
2506,3949,4439073593336890,216,success,2012-02-26 20:58:18 UTC,2012-02-26 20:58:18 UTC
2695,3949,4191211867250950,316,success,2012-02-26 20:58:25 UTC,2012-02-26 20:58:25 UTC
2478,4438,4293927058158170,714,success,2012-02-26 20:58:17 UTC,2012-02-26 20:58:17 UTC
3322,4438,4220995654919890,420,success,2012-02-26 20:58:45 UTC,2012-02-26 20:58:45 UTC
