id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,4068631943231473,0217,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,2,4177816490204479,0813,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
3,3,4271805778010747,1220,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
4,4,4048033451067370,0313,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
5,5,4297222478855497,1215,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
6,6,4558368405929183,0417,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
7,7,4613250127567219,0314,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
8,8,4839506591130477,0213,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
9,9,4463525332822998,0618,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
10,10,4149654190362629,0420,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
11,11,4636879773663908,0820,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
12,12,4625296309157421,0614,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
13,13,4518913442963142,0518,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
14,14,4035885351912165,1020,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
15,15,4556671029294436,0412,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
16,16,4279380734327937,0815,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
17,17,4257133712179878,1220,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
18,18,4055813232766404,0619,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
19,19,4318767847968505,0218,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
20,20,4890371279632775,0718,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
