id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,4068631943231473,217,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,2,4177816490204479,813,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
3,3,4271805778010747,1220,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
4,4,4048033451067370,313,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
5,5,4297222478855497,1215,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
6,6,4558368405929183,417,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
7,7,4613250127567219,314,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
8,8,4839506591130477,213,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
9,9,4463525332822998,618,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
10,10,4149654190362629,420,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
11,11,4636879773663908,820,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
12,12,4625296309157421,614,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
13,13,4518913442963142,518,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
14,14,4035885351912165,1020,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
15,15,4556671029294436,412,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
16,16,4279380734327937,815,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
17,17,4257133712179878,1220,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
18,18,4055813232766404,619,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
19,19,4318767847968505,218,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
20,20,4890371279632775,718,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
21,21,4147902004736100,1117,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
22,22,4172068877354384,1117,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
23,23,4566763237167619,220,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
24,24,4970472137240748,1018,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
25,25,4380052321342904,616,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
26,26,4071916065529660,819,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
27,27,4614523378877635,119,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
28,28,4604223164580033,916,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
29,29,4349426879923290,912,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
30,30,4619850044750256,715,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
